name,category,price,description,stock
Laptop Pro 15,Electronics,1299.99,High-performance laptop with 16GB RAM and 512GB SSD for professional use,45
Wireless Mouse,Electronics,29.99,Ergonomic wireless mouse with adjustable DPI and long battery life,200
Python Programming Book,Books,39.99,Comprehensive guide to Python programming covering basics to advanced topics,120
Data Science Handbook,Books,49.99,Essential handbook for data scientists covering statistics and machine learning,85
Mechanical Keyboard,Electronics,89.99,RGB mechanical keyboard with Cherry MX switches for programmers and gamers,150
Information Retrieval Textbook,Books,59.99,Academic textbook on information retrieval systems and search engine design,60
USB-C Hub,Electronics,45.99,Multi-port USB-C hub with HDMI and ethernet for laptops and tablets,180
Machine Learning Course,Education,199.99,Online course covering supervised and unsupervised machine learning algorithms,500
Cloud Computing Guide,Books,44.99,Guide to AWS Azure and Google Cloud platforms for developers and architects,95
Smart Watch,Electronics,249.99,Fitness tracking smartwatch with heart rate monitor and GPS navigation,110
